date,emissions_co2
01/01/1891,520288
01/01/1892,578912
01/01/1893,531280
01/01/1894,538608
01/01/1895,494640
01/01/1896,578912
01/01/1897,688832
01/01/1898,736464
01/01/1899,754784
01/01/1900,1000272
01/01/1901,1311712
01/01/1902,1425296
01/01/1903,1557200
01/01/1904,1718416
01/01/1905,1707424
01/01/1906,1919936
01/01/1907,2264352
01/01/1908,3770256
01/01/1909,3693312
01/01/1910,4154976
01/01/1911,8401552
01/01/1912,8632384
01/01/1913,11743120
01/01/1914,10141952
01/01/1915,14315248
01/01/1916,17184160
01/01/1917,26131648
01/01/1918,30642032
01/01/1919,41084430
01/01/1920,76236850
01/01/1921,90288290
01/01/1922,85550740
01/01/1923,72037900
01/01/1924,67871940
01/01/1925,57085120
01/01/1926,44686144
01/01/1927,31796192
01/01/1928,24082610
01/01/1929,22147958
01/01/1930,20379168
01/01/1931,16751808
01/01/1932,16194880
01/01/1933,16740816
01/01/1934,18891584
01/01/1935,21426062
01/01/1936,21960858
01/01/1937,24902812
01/01/1938,24265156
01/01/1939,22663840
01/01/1940,23209478
01/01/1941,22546088
01/01/1942,18977142
01/01/1943,19057782
01/01/1944,20123886
01/01/1945,22614870
01/01/1946,25623044
01/01/1947,29351926
01/01/1948,30509422
01/01/1949,28958958
01/01/1950,30507610
01/01/1951,34889400
01/01/1952,37212196
01/01/1953,36706536
01/01/1954,36270190
01/01/1955,39661988
01/01/1956,42134116
01/01/1957,49277788
01/01/1958,54008100
01/01/1959,58286970
01/01/1960,63052290
01/01/1961,65239908
01/01/1962,63743710
01/01/1963,66292190
01/01/1964,74200130
01/01/1965,75167900
01/01/1966,80844570
01/01/1967,90005530
01/01/1968,93887230
01/01/1969,102176184
01/01/1970,113950680
01/01/1971,126186810
01/01/1972,132271256
01/01/1973,144058430
01/01/1974,154727330
01/01/1975,164139040
01/01/1976,183739580
01/01/1977,192394240
01/01/1978,222116240
01/01/1979,240258750
01/01/1980,267743840
01/01/1981,283707420
01/01/1982,303905060
01/01/1983,277565860
01/01/1984,276648580
01/01/1985,287370530
01/01/1986,293412200
01/01/1987,306022080
01/01/1988,305665570
01/01/1989,323480320
01/01/1990,317042370
01/01/1991,330133150
01/01/1992,332780160
01/01/1993,338067200
01/01/1994,351528160
01/01/1995,331596600
01/01/1996,345766100
01/01/1997,368644800
01/01/1998,388356900
01/01/1999,390516450
01/01/2000,396066370
01/01/2001,410697950
01/01/2002,411967680
01/01/2003,437757540
01/01/2004,438856700
01/01/2005,463993180
01/01/2006,476565220
01/01/2007,479786800
01/01/2008,492979680
01/01/2009,475903040
01/01/2010,463782500
01/01/2011,484164860
01/01/2012,501568830
01/01/2013,495485200
01/01/2014,484113700
01/01/2015,479519780
01/01/2016,479789760
01/01/2017,465620930
01/01/2018,475268930
01/01/2019,472191500
01/01/2020,391706200
01/01/2021,407205060
